Código Expediente;Distrito;Barrio;Día de la Semana;Año;Mes;Nombre Mes;Día del Mes;Hora del Día;Turno;Tipo de Accidente
2018S008068;Sants-Montjuïc;la Font de la Guatlla;Viernes;2018;10;Octubre;19;18;Tarde;Caiguda (dues rodes)
2018S008069;Ciutat Vella;el Barri Gòtic;Martes;2018;10;Octubre;23;18;Tarde;Abast
2018S008070;Horta-Guinardó;Horta;Martes;2018;10;Octubre;23;17;Tarde;Encalç
2018S008071;Ciutat Vella;la Barceloneta;Martes;2018;10;Octubre;23;18;Tarde;Col.lisió lateral
2018S008072;Sant Martí;el Clot;Martes;2018;10;Octubre;23;17;Tarde;Col.lisió lateral
2018S008073;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;Martes;2018;10;Octubre;23;19;Tarde;Atropellament
2018S008074;Eixample;la Nova Esquerra de l'Eixample;Martes;2018;10;Octubre;23;18;Tarde;Col.lisió lateral
2018S008075;Les Corts;les Corts;Martes;2018;10;Octubre;23;19;Tarde;Atropellament
2018S008076;Les Corts;la Maternitat i Sant Ramon;Martes;2018;10;Octubre;23;17;Tarde;Abast
2018S008077;Gràcia;la Vila de Gràcia;Martes;2018;10;Octubre;23;22;Noche;Col.lisió lateral
2018S008078;Eixample;el Fort Pienc;Martes;2018;10;Octubre;23;21;Tarde;Col.lisió fronto-lateral
